window_minutes,subsequence_count,cache_used,elapsed_seconds,finite_mp_count,global_mp_min,global_mp_mean,global_mp_median,top_k_used,top_motif_min_distance,top_motif_mean_distance,top_motif_median_distance,top_motif_std_distance
15,10066,True,0.0,10066,0.4340046565162186,1.3842504096012513,1.340545007206544,3,0.4340046565162186,0.4557275530862513,0.454868258152715,0.018097679374982537
30,10051,True,0.0,10051,0.830394225090919,2.3954884746144116,2.350963331233711,3,0.830394225090919,0.8864042035251362,0.9133415220004252,0.03961462847622534
60,10021,True,0.0,10021,1.5760775674355556,3.7606450627511467,3.6509429364440416,3,1.5760775674355556,1.740515616575668,1.8179042099326423,0.11634213071643125
120,9961,True,0.0,9961,2.281121770591269,5.628579877692783,5.525168644207332,3,2.281121770591269,2.6409614482279036,2.803126147579878,0.25485772524907174
