rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,480,13296,60816,2025-01-10 05:36:00+00:00,2025-01-10 13:35:00+00:00,2025-02-12 05:36:00+00:00,2025-02-12 13:35:00+00:00,10.731376561186895,mid_vol,mid_vol,True,hl_range_m480
2,480,406881,339100,2025-10-10 13:21:00+00:00,2025-10-10 21:20:00+00:00,2025-08-24 11:40:00+00:00,2025-08-24 19:39:00+00:00,11.244185606398238,mid_vol,mid_vol,True,hl_range_m480
3,480,429998,160704,2025-10-26 14:38:00+00:00,2025-10-26 22:37:00+00:00,2025-04-22 14:24:00+00:00,2025-04-22 22:23:00+00:00,12.830610581882308,mid_vol,high_vol,False,hl_range_m480
4,480,407362,274877,2025-10-10 21:22:00+00:00,2025-10-11 05:21:00+00:00,2025-07-10 21:17:00+00:00,2025-07-11 05:16:00+00:00,13.054371808399388,high_vol,high_vol,True,hl_range_m480
5,480,398563,86858,2025-10-04 18:43:00+00:00,2025-10-05 02:42:00+00:00,2025-03-02 07:38:00+00:00,2025-03-02 15:37:00+00:00,13.737610906213535,low_vol,mid_vol,False,hl_range_m480
6,480,380522,356956,2025-09-22 06:02:00+00:00,2025-09-22 14:01:00+00:00,2025-09-05 21:16:00+00:00,2025-09-06 05:15:00+00:00,13.804720832050942,high_vol,high_vol,True,hl_range_m480
7,480,363157,364597,2025-09-10 04:37:00+00:00,2025-09-10 12:36:00+00:00,2025-09-11 04:37:00+00:00,2025-09-11 12:36:00+00:00,13.953484948912134,low_vol,low_vol,True,hl_range_m480
8,480,480517,89704,2025-11-30 16:37:00+00:00,2025-12-01 00:36:00+00:00,2025-03-04 07:04:00+00:00,2025-03-04 15:03:00+00:00,14.467777497072978,low_vol,high_vol,False,hl_range_m480
9,480,204757,501567,2025-05-23 04:37:00+00:00,2025-05-23 12:36:00+00:00,2025-12-15 07:27:00+00:00,2025-12-15 15:26:00+00:00,14.485146211846926,mid_vol,mid_vol,True,hl_range_m480
10,480,91697,423269,2025-03-05 16:17:00+00:00,2025-03-06 00:16:00+00:00,2025-10-21 22:29:00+00:00,2025-10-22 06:28:00+00:00,14.654725320179383,high_vol,high_vol,True,hl_range_m480
