rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,720,86674,335706,2025-03-02 04:34:00+00:00,2025-03-02 16:33:00+00:00,2025-08-22 03:06:00+00:00,2025-08-22 15:05:00+00:00,3.1629865873409204,mid_vol,mid_vol,True,rolling_volatility_m720
2,720,339579,407361,2025-08-24 19:39:00+00:00,2025-08-25 07:38:00+00:00,2025-10-10 21:21:00+00:00,2025-10-11 09:20:00+00:00,3.452420150638153,high_vol,high_vol,True,rolling_volatility_m720
3,720,89652,461174,2025-03-04 06:12:00+00:00,2025-03-04 18:11:00+00:00,2025-11-17 06:14:00+00:00,2025-11-17 18:13:00+00:00,4.309906858233151,high_vol,mid_vol,False,rolling_volatility_m720
4,720,501366,31927,2025-12-15 04:06:00+00:00,2025-12-15 16:05:00+00:00,2025-01-23 04:07:00+00:00,2025-01-23 16:06:00+00:00,4.473774476799998,mid_vol,high_vol,False,rolling_volatility_m720
5,720,122629,332881,2025-03-27 03:49:00+00:00,2025-03-27 15:48:00+00:00,2025-08-20 04:01:00+00:00,2025-08-20 16:00:00+00:00,4.5558354383478585,low_vol,low_vol,True,rolling_volatility_m720
6,720,36754,3117,2025-01-26 12:34:00+00:00,2025-01-27 00:33:00+00:00,2025-01-03 03:57:00+00:00,2025-01-03 15:56:00+00:00,4.66603095029386,low_vol,low_vol,True,rolling_volatility_m720
7,720,13182,364482,2025-01-10 03:42:00+00:00,2025-01-10 15:41:00+00:00,2025-09-11 02:42:00+00:00,2025-09-11 14:41:00+00:00,4.767827284205569,mid_vol,low_vol,False,rolling_volatility_m720
8,720,495685,39188,2025-12-11 05:25:00+00:00,2025-12-11 17:24:00+00:00,2025-01-28 05:08:00+00:00,2025-01-28 17:07:00+00:00,4.772073336131908,mid_vol,high_vol,False,rolling_volatility_m720
9,720,20402,60722,2025-01-15 04:02:00+00:00,2025-01-15 16:01:00+00:00,2025-02-12 04:02:00+00:00,2025-02-12 16:01:00+00:00,4.846186994255634,high_vol,high_vol,True,rolling_volatility_m720
10,720,171575,349345,2025-04-30 03:35:00+00:00,2025-04-30 15:34:00+00:00,2025-08-31 14:25:00+00:00,2025-09-01 02:24:00+00:00,4.90310892422595,mid_vol,low_vol,False,rolling_volatility_m720
