rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,480,13291,60811,2025-01-10 05:31:00+00:00,2025-01-10 13:30:00+00:00,2025-02-12 05:31:00+00:00,2025-02-12 13:30:00+00:00,15.914535470796405,mid_vol,mid_vol,True,log_return_m480
2,480,380044,339099,2025-09-21 22:04:00+00:00,2025-09-22 06:03:00+00:00,2025-08-24 11:39:00+00:00,2025-08-24 19:38:00+00:00,17.672146661103092,low_vol,mid_vol,False,log_return_m480
3,480,423271,356956,2025-10-21 22:31:00+00:00,2025-10-22 06:30:00+00:00,2025-09-05 21:16:00+00:00,2025-09-06 05:15:00+00:00,17.824001844918673,high_vol,high_vol,True,log_return_m480
4,480,429965,86850,2025-10-26 14:05:00+00:00,2025-10-26 22:04:00+00:00,2025-03-02 07:30:00+00:00,2025-03-02 15:29:00+00:00,17.957054386858914,mid_vol,mid_vol,True,log_return_m480
5,480,324279,406884,2025-08-14 04:39:00+00:00,2025-08-14 12:38:00+00:00,2025-10-10 13:24:00+00:00,2025-10-10 21:23:00+00:00,19.67666140015172,low_vol,mid_vol,False,log_return_m480
6,480,504415,335883,2025-12-17 06:55:00+00:00,2025-12-17 14:54:00+00:00,2025-08-22 06:03:00+00:00,2025-08-22 14:02:00+00:00,21.549359737991505,high_vol,mid_vol,False,log_return_m480
7,480,20497,363157,2025-01-15 05:37:00+00:00,2025-01-15 13:36:00+00:00,2025-09-10 04:37:00+00:00,2025-09-10 12:36:00+00:00,21.937307521315855,mid_vol,low_vol,False,log_return_m480
8,480,419156,160677,2025-10-19 01:56:00+00:00,2025-10-19 09:55:00+00:00,2025-04-22 13:57:00+00:00,2025-04-22 21:56:00+00:00,22.13327759078665,low_vol,high_vol,False,log_return_m480
9,480,73891,434085,2025-02-21 07:31:00+00:00,2025-02-21 15:30:00+00:00,2025-10-29 10:45:00+00:00,2025-10-29 18:44:00+00:00,22.61129922972671,low_vol,low_vol,True,log_return_m480
10,480,9069,364598,2025-01-07 07:09:00+00:00,2025-01-07 15:08:00+00:00,2025-09-11 04:38:00+00:00,2025-09-11 12:37:00+00:00,22.740735664757036,low_vol,low_vol,True,log_return_m480
