rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,240,13531,61051,2025-01-10 09:31:00+00:00,2025-01-10 13:30:00+00:00,2025-02-12 09:31:00+00:00,2025-02-12 13:30:00+00:00,8.246652005555688,mid_vol,mid_vol,True,log_return_m240
2,240,339339,380284,2025-08-24 15:39:00+00:00,2025-08-24 19:38:00+00:00,2025-09-22 02:04:00+00:00,2025-09-22 06:03:00+00:00,9.548677571994135,mid_vol,high_vol,False,log_return_m240
3,240,430205,87090,2025-10-26 18:05:00+00:00,2025-10-26 22:04:00+00:00,2025-03-02 11:30:00+00:00,2025-03-02 15:29:00+00:00,10.840838293401912,low_vol,mid_vol,False,log_return_m240
4,240,423271,356956,2025-10-21 22:31:00+00:00,2025-10-22 02:30:00+00:00,2025-09-05 21:16:00+00:00,2025-09-06 01:15:00+00:00,11.134436083586845,high_vol,high_vol,True,log_return_m240
5,240,363397,160916,2025-09-10 08:37:00+00:00,2025-09-10 12:36:00+00:00,2025-04-22 17:56:00+00:00,2025-04-22 21:55:00+00:00,12.241978192226398,mid_vol,high_vol,False,log_return_m240
6,240,407124,324519,2025-10-10 17:24:00+00:00,2025-10-10 21:23:00+00:00,2025-08-14 08:39:00+00:00,2025-08-14 12:38:00+00:00,12.476054965446673,high_vol,mid_vol,False,log_return_m240
7,240,429454,398800,2025-10-26 05:34:00+00:00,2025-10-26 09:33:00+00:00,2025-10-04 22:40:00+00:00,2025-10-05 02:39:00+00:00,12.521415600594361,low_vol,low_vol,True,log_return_m240
8,240,346146,19326,2025-08-29 09:06:00+00:00,2025-08-29 13:05:00+00:00,2025-01-14 10:06:00+00:00,2025-01-14 14:05:00+00:00,12.72027081721023,mid_vol,high_vol,False,log_return_m240
9,240,247289,466778,2025-06-21 17:29:00+00:00,2025-06-21 21:28:00+00:00,2025-11-21 03:38:00+00:00,2025-11-21 07:37:00+00:00,12.78512302602642,low_vol,high_vol,False,log_return_m240
10,240,161858,20731,2025-04-23 09:38:00+00:00,2025-04-23 13:37:00+00:00,2025-01-15 09:31:00+00:00,2025-01-15 13:30:00+00:00,12.82904147028952,mid_vol,mid_vol,True,log_return_m240
