rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,720,406641,338860,2025-10-10 09:21:00+00:00,2025-10-10 21:20:00+00:00,2025-08-24 07:40:00+00:00,2025-08-24 19:39:00+00:00,14.208486988980455,low_vol,low_vol,True,hl_range_m720
2,720,60672,13152,2025-02-12 03:12:00+00:00,2025-02-12 15:11:00+00:00,2025-01-10 03:12:00+00:00,2025-01-10 15:11:00+00:00,15.619395717144013,high_vol,high_vol,True,hl_range_m720
3,720,407363,142158,2025-10-10 21:23:00+00:00,2025-10-11 09:22:00+00:00,2025-04-09 17:18:00+00:00,2025-04-10 05:17:00+00:00,16.708137371198482,high_vol,high_vol,True,hl_range_m720
4,720,160940,430234,2025-04-22 18:20:00+00:00,2025-04-23 06:19:00+00:00,2025-10-26 18:34:00+00:00,2025-10-27 06:33:00+00:00,18.268790917955346,high_vol,low_vol,False,hl_range_m720
5,720,335673,8854,2025-08-22 02:33:00+00:00,2025-08-22 14:32:00+00:00,2025-01-07 03:34:00+00:00,2025-01-07 15:33:00+00:00,18.532386043618708,mid_vol,low_vol,False,hl_range_m720
6,720,41495,93610,2025-01-29 19:35:00+00:00,2025-01-30 07:34:00+00:00,2025-03-07 00:10:00+00:00,2025-03-07 12:09:00+00:00,18.84274331637725,high_vol,high_vol,True,hl_range_m720
7,720,480294,86658,2025-11-30 12:54:00+00:00,2025-12-01 00:53:00+00:00,2025-03-02 04:18:00+00:00,2025-03-02 16:17:00+00:00,19.023224056036707,low_vol,mid_vol,False,hl_range_m720
8,720,380522,356956,2025-09-22 06:02:00+00:00,2025-09-22 18:01:00+00:00,2025-09-05 21:16:00+00:00,2025-09-06 09:15:00+00:00,19.20575007258942,high_vol,high_vol,True,hl_range_m720
9,720,204573,501383,2025-05-23 01:33:00+00:00,2025-05-23 13:32:00+00:00,2025-12-15 04:23:00+00:00,2025-12-15 16:22:00+00:00,19.44342304424243,mid_vol,mid_vol,True,hl_range_m720
10,720,364595,20495,2025-09-11 04:35:00+00:00,2025-09-11 16:34:00+00:00,2025-01-15 05:35:00+00:00,2025-01-15 17:34:00+00:00,19.46014294074149,low_vol,mid_vol,False,hl_range_m720
