rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,480,339158,60871,2025-08-24 12:38:00+00:00,2025-08-24 20:37:00+00:00,2025-02-12 06:31:00+00:00,2025-02-12 14:30:00+00:00,2.068186375580091,low_vol,low_vol,True,rolling_volatility_m480
2,480,86908,335940,2025-03-02 08:28:00+00:00,2025-03-02 16:27:00+00:00,2025-08-22 07:00:00+00:00,2025-08-22 14:59:00+00:00,2.2838345824930806,mid_vol,mid_vol,True,rolling_volatility_m480
3,480,81112,42255,2025-02-26 07:52:00+00:00,2025-02-26 15:51:00+00:00,2025-01-30 08:15:00+00:00,2025-01-30 16:14:00+00:00,2.5500023917718346,high_vol,mid_vol,False,rolling_volatility_m480
4,480,430023,364650,2025-10-26 15:03:00+00:00,2025-10-26 23:02:00+00:00,2025-09-11 05:30:00+00:00,2025-09-11 13:29:00+00:00,2.7484505976089944,mid_vol,low_vol,False,rolling_volatility_m480
5,480,89736,461258,2025-03-04 07:36:00+00:00,2025-03-04 15:35:00+00:00,2025-11-17 07:38:00+00:00,2025-11-17 15:37:00+00:00,2.9466833416671574,high_vol,mid_vol,False,rolling_volatility_m480
6,480,171801,349570,2025-04-30 07:21:00+00:00,2025-04-30 15:20:00+00:00,2025-08-31 18:10:00+00:00,2025-09-01 02:09:00+00:00,2.9561716547429104,low_vol,low_vol,True,rolling_volatility_m480
7,480,324336,406941,2025-08-14 05:36:00+00:00,2025-08-14 13:35:00+00:00,2025-10-10 14:21:00+00:00,2025-10-10 22:20:00+00:00,2.9779727049931397,low_vol,high_vol,False,rolling_volatility_m480
8,480,486446,41507,2025-12-04 19:26:00+00:00,2025-12-05 03:25:00+00:00,2025-01-29 19:47:00+00:00,2025-01-30 03:46:00+00:00,3.100367727337695,high_vol,high_vol,True,rolling_volatility_m480
9,480,204797,322992,2025-05-23 05:17:00+00:00,2025-05-23 13:16:00+00:00,2025-08-13 07:12:00+00:00,2025-08-13 15:11:00+00:00,3.218962690721043,mid_vol,low_vol,False,rolling_volatility_m480
10,480,501606,32167,2025-12-15 08:06:00+00:00,2025-12-15 16:05:00+00:00,2025-01-23 08:07:00+00:00,2025-01-23 16:06:00+00:00,3.2971527822613367,mid_vol,high_vol,False,rolling_volatility_m480
