rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,480,480780,9357,2025-11-30 21:00:00+00:00,2025-12-01 04:59:00+00:00,2025-01-07 11:57:00+00:00,2025-01-07 19:56:00+00:00,2.8673014936472545,low_vol,high_vol,False,raw_close_m480
2,480,141888,493156,2025-04-09 12:48:00+00:00,2025-04-09 20:47:00+00:00,2025-12-09 11:16:00+00:00,2025-12-09 19:15:00+00:00,3.1691090890622355,high_vol,high_vol,True,raw_close_m480
3,480,157086,501733,2025-04-20 02:06:00+00:00,2025-04-20 10:05:00+00:00,2025-12-15 10:13:00+00:00,2025-12-15 18:12:00+00:00,3.39907933899816,low_vol,low_vol,True,raw_close_m480
4,480,158140,393347,2025-04-20 19:40:00+00:00,2025-04-21 03:39:00+00:00,2025-10-01 03:47:00+00:00,2025-10-01 11:46:00+00:00,3.418589567480343,low_vol,low_vol,True,raw_close_m480
5,480,279330,521148,2025-07-13 23:30:00+00:00,2025-07-14 07:29:00+00:00,2025-12-28 21:48:00+00:00,2025-12-29 05:47:00+00:00,3.44942786611834,mid_vol,low_vol,False,raw_close_m480
6,480,318171,422557,2025-08-09 22:51:00+00:00,2025-08-10 06:50:00+00:00,2025-10-21 10:37:00+00:00,2025-10-21 18:36:00+00:00,3.456671210487205,low_vol,mid_vol,False,raw_close_m480
7,480,160330,229241,2025-04-22 08:10:00+00:00,2025-04-22 16:09:00+00:00,2025-06-09 04:41:00+00:00,2025-06-09 12:40:00+00:00,3.5439596831391427,mid_vol,low_vol,False,raw_close_m480
8,480,465766,329546,2025-11-20 10:46:00+00:00,2025-11-20 18:45:00+00:00,2025-08-17 20:26:00+00:00,2025-08-18 04:25:00+00:00,3.5516751766936365,high_vol,low_vol,False,raw_close_m480
9,480,258028,483007,2025-06-29 04:28:00+00:00,2025-06-29 12:27:00+00:00,2025-12-02 10:07:00+00:00,2025-12-02 18:06:00+00:00,3.5559167209880385,low_vol,mid_vol,False,raw_close_m480
10,480,361539,389869,2025-09-09 01:39:00+00:00,2025-09-09 09:38:00+00:00,2025-09-28 17:49:00+00:00,2025-09-29 01:48:00+00:00,3.5808320963654205,mid_vol,low_vol,False,raw_close_m480
