rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,240,13536,61056,2025-01-10 09:36:00+00:00,2025-01-10 13:35:00+00:00,2025-02-12 09:36:00+00:00,2025-02-12 13:35:00+00:00,5.78013045906617,mid_vol,mid_vol,True,hl_range_m240
2,240,339353,380298,2025-08-24 15:53:00+00:00,2025-08-24 19:52:00+00:00,2025-09-22 02:18:00+00:00,2025-09-22 06:17:00+00:00,5.868099012670014,mid_vol,high_vol,False,hl_range_m240
3,240,363397,364837,2025-09-10 08:37:00+00:00,2025-09-10 12:36:00+00:00,2025-09-11 08:37:00+00:00,2025-09-11 12:36:00+00:00,6.956525308371621,mid_vol,low_vol,False,hl_range_m240
4,240,407124,83378,2025-10-10 17:24:00+00:00,2025-10-10 21:23:00+00:00,2025-02-27 21:38:00+00:00,2025-02-28 01:37:00+00:00,7.03973755210826,high_vol,high_vol,True,hl_range_m240
5,240,356192,466775,2025-09-05 08:32:00+00:00,2025-09-05 12:31:00+00:00,2025-11-21 03:35:00+00:00,2025-11-21 07:34:00+00:00,7.3484076651345775,mid_vol,high_vol,False,hl_range_m240
6,240,160940,430234,2025-04-22 18:20:00+00:00,2025-04-22 22:19:00+00:00,2025-10-26 18:34:00+00:00,2025-10-26 22:33:00+00:00,7.480635380042928,high_vol,low_vol,False,hl_range_m240
7,240,274653,141555,2025-07-10 17:33:00+00:00,2025-07-10 21:32:00+00:00,2025-04-09 07:15:00+00:00,2025-04-09 11:14:00+00:00,7.747675362442779,high_vol,high_vol,True,hl_range_m240
8,240,19332,20772,2025-01-14 10:12:00+00:00,2025-01-14 14:11:00+00:00,2025-01-15 10:12:00+00:00,2025-01-15 14:11:00+00:00,7.941438665209141,high_vol,mid_vol,False,hl_range_m240
9,240,429459,398805,2025-10-26 05:39:00+00:00,2025-10-26 09:38:00+00:00,2025-10-04 22:45:00+00:00,2025-10-05 02:44:00+00:00,8.202482195554206,low_vol,low_vol,True,hl_range_m240
10,240,356718,343703,2025-09-05 17:18:00+00:00,2025-09-05 21:17:00+00:00,2025-08-27 16:23:00+00:00,2025-08-27 20:22:00+00:00,8.640593402600619,mid_vol,mid_vol,True,hl_range_m240
