rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,1440,480273,8842,2025-11-30 12:33:00+00:00,2025-12-01 12:32:00+00:00,2025-01-07 03:22:00+00:00,2025-01-08 03:21:00+00:00,4.742860729802535,low_vol,low_vol,True,raw_close_m1440
2,1440,318782,482272,2025-08-10 09:02:00+00:00,2025-08-11 09:01:00+00:00,2025-12-01 21:52:00+00:00,2025-12-02 21:51:00+00:00,6.555952088408511,low_vol,high_vol,False,raw_close_m1440
3,1440,86663,141429,2025-03-02 04:23:00+00:00,2025-03-03 04:22:00+00:00,2025-04-09 05:09:00+00:00,2025-04-10 05:08:00+00:00,6.9131216655305785,mid_vol,high_vol,False,raw_close_m1440
4,1440,465270,329050,2025-11-20 02:30:00+00:00,2025-11-21 02:29:00+00:00,2025-08-17 12:10:00+00:00,2025-08-18 12:09:00+00:00,7.290127004094726,high_vol,low_vol,False,raw_close_m1440
5,1440,123513,96579,2025-03-27 18:33:00+00:00,2025-03-28 18:32:00+00:00,2025-03-09 01:39:00+00:00,2025-03-10 01:38:00+00:00,7.292658239046894,mid_vol,mid_vol,True,raw_close_m1440
6,1440,304318,137177,2025-07-31 07:58:00+00:00,2025-08-01 07:57:00+00:00,2025-04-06 06:17:00+00:00,2025-04-07 06:16:00+00:00,7.312665685133019,low_vol,low_vol,True,raw_close_m1440
7,1440,36278,405895,2025-01-26 04:38:00+00:00,2025-01-27 04:37:00+00:00,2025-10-09 20:55:00+00:00,2025-10-10 20:54:00+00:00,7.722436261927101,mid_vol,mid_vol,True,raw_close_m1440
8,1440,390276,157639,2025-09-29 00:36:00+00:00,2025-09-30 00:35:00+00:00,2025-04-20 11:19:00+00:00,2025-04-21 11:18:00+00:00,7.735889436502709,mid_vol,mid_vol,True,raw_close_m1440
9,1440,449581,229057,2025-11-09 05:01:00+00:00,2025-11-10 05:00:00+00:00,2025-06-09 01:37:00+00:00,2025-06-10 01:36:00+00:00,7.778052116272545,mid_vol,mid_vol,True,raw_close_m1440
10,1440,264827,82699,2025-07-03 21:47:00+00:00,2025-07-04 21:46:00+00:00,2025-02-27 10:19:00+00:00,2025-02-28 10:18:00+00:00,7.7991839348317065,low_vol,high_vol,False,raw_close_m1440
