rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,240,318306,493309,2025-08-10 01:06:00+00:00,2025-08-10 05:05:00+00:00,2025-12-09 13:49:00+00:00,2025-12-09 17:48:00+00:00,1.921781883479805,low_vol,mid_vol,False,raw_close_m240
2,240,319721,142082,2025-08-11 00:41:00+00:00,2025-08-11 04:40:00+00:00,2025-04-09 16:02:00+00:00,2025-04-09 20:01:00+00:00,2.2473274229638114,mid_vol,high_vol,False,raw_close_m240
3,240,416402,137714,2025-10-17 04:02:00+00:00,2025-10-17 08:01:00+00:00,2025-04-06 15:14:00+00:00,2025-04-06 19:13:00+00:00,2.2526204100149236,mid_vol,high_vol,False,raw_close_m240
4,240,480836,44181,2025-11-30 21:56:00+00:00,2025-12-01 01:55:00+00:00,2025-01-31 16:21:00+00:00,2025-01-31 20:20:00+00:00,2.2609379442791777,mid_vol,high_vol,False,raw_close_m240
5,240,9418,399321,2025-01-07 12:58:00+00:00,2025-01-07 16:57:00+00:00,2025-10-05 07:21:00+00:00,2025-10-05 11:20:00+00:00,2.2827775041395464,mid_vol,mid_vol,True,raw_close_m240
6,240,158280,365514,2025-04-20 22:00:00+00:00,2025-04-21 01:59:00+00:00,2025-09-11 19:54:00+00:00,2025-09-11 23:53:00+00:00,2.3099586531254497,mid_vol,low_vol,False,raw_close_m240
7,240,7985,390021,2025-01-06 13:05:00+00:00,2025-01-06 17:04:00+00:00,2025-09-28 20:21:00+00:00,2025-09-29 00:20:00+00:00,2.3176969297400416,mid_vol,low_vol,False,raw_close_m240
8,240,265643,324207,2025-07-04 11:23:00+00:00,2025-07-04 15:22:00+00:00,2025-08-14 03:27:00+00:00,2025-08-14 07:26:00+00:00,2.3891038481459947,low_vol,mid_vol,False,raw_close_m240
9,240,521708,6096,2025-12-29 07:08:00+00:00,2025-12-29 11:07:00+00:00,2025-01-05 05:36:00+00:00,2025-01-05 09:35:00+00:00,2.3928191153440372,mid_vol,low_vol,False,raw_close_m240
10,240,229388,160477,2025-06-09 07:08:00+00:00,2025-06-09 11:07:00+00:00,2025-04-22 10:37:00+00:00,2025-04-22 14:36:00+00:00,2.421234706323952,low_vol,mid_vol,False,raw_close_m240
