rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,1440,405920,338138,2025-10-09 21:20:00+00:00,2025-10-10 21:19:00+00:00,2025-08-23 19:38:00+00:00,2025-08-24 19:37:00+00:00,33.98186615401941,low_vol,low_vol,True,log_return_m1440
2,1440,429005,85890,2025-10-25 22:05:00+00:00,2025-10-26 22:04:00+00:00,2025-03-01 15:30:00+00:00,2025-03-02 15:29:00+00:00,40.177112334094325,low_vol,high_vol,False,log_return_m1440
3,1440,343941,356956,2025-08-27 20:21:00+00:00,2025-08-28 20:20:00+00:00,2025-09-05 21:16:00+00:00,2025-09-06 21:15:00+00:00,41.96887777354345,high_vol,high_vol,True,log_return_m1440
4,1440,418195,159716,2025-10-18 09:55:00+00:00,2025-10-19 09:54:00+00:00,2025-04-21 21:56:00+00:00,2025-04-22 21:55:00+00:00,43.32328126424818,mid_vol,mid_vol,True,log_return_m1440
5,1440,336360,32892,2025-08-22 14:00:00+00:00,2025-08-23 13:59:00+00:00,2025-01-23 20:12:00+00:00,2025-01-24 20:11:00+00:00,43.86687866599086,high_vol,high_vol,True,log_return_m1440
6,1440,433119,246088,2025-10-28 18:39:00+00:00,2025-10-29 18:38:00+00:00,2025-06-20 21:28:00+00:00,2025-06-21 21:27:00+00:00,44.15333559188837,mid_vol,low_vol,False,log_return_m1440
7,1440,503469,273454,2025-12-16 15:09:00+00:00,2025-12-17 15:08:00+00:00,2025-07-09 21:34:00+00:00,2025-07-10 21:33:00+00:00,44.556073259420586,high_vol,high_vol,True,log_return_m1440
8,1440,72933,379090,2025-02-20 15:33:00+00:00,2025-02-21 15:32:00+00:00,2025-09-21 06:10:00+00:00,2025-09-22 06:09:00+00:00,45.01972160444486,high_vol,low_vol,False,log_return_m1440
9,1440,31150,25851,2025-01-22 15:10:00+00:00,2025-01-23 15:09:00+00:00,2025-01-18 22:51:00+00:00,2025-01-19 22:50:00+00:00,45.116521947185596,high_vol,mid_vol,False,log_return_m1440
10,1440,59913,12393,2025-02-11 14:33:00+00:00,2025-02-12 14:32:00+00:00,2025-01-09 14:33:00+00:00,2025-01-10 14:32:00+00:00,45.318040872809426,high_vol,high_vol,True,log_return_m1440
