rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,60,521817,480929,2025-12-29 08:57:00+00:00,2025-12-29 09:56:00+00:00,2025-11-30 23:29:00+00:00,2025-12-01 00:28:00+00:00,0.914245091584903,mid_vol,mid_vol,True,raw_close_m60
2,60,435183,344401,2025-10-30 05:03:00+00:00,2025-10-30 06:02:00+00:00,2025-08-28 04:01:00+00:00,2025-08-28 05:00:00+00:00,0.9790422249615721,high_vol,mid_vol,False,raw_close_m60
3,60,398985,198052,2025-10-05 01:45:00+00:00,2025-10-05 02:44:00+00:00,2025-05-18 12:52:00+00:00,2025-05-18 13:51:00+00:00,1.0296840985680746,low_vol,low_vol,True,raw_close_m60
4,60,442371,81448,2025-11-04 04:51:00+00:00,2025-11-04 05:50:00+00:00,2025-02-26 13:28:00+00:00,2025-02-26 14:27:00+00:00,1.0393635158342471,mid_vol,high_vol,False,raw_close_m60
5,60,179791,493400,2025-05-05 20:31:00+00:00,2025-05-05 21:30:00+00:00,2025-12-09 15:20:00+00:00,2025-12-09 16:19:00+00:00,1.0403889643709368,low_vol,high_vol,False,raw_close_m60
6,60,241591,318398,2025-06-17 18:31:00+00:00,2025-06-17 19:30:00+00:00,2025-08-10 02:38:00+00:00,2025-08-10 03:37:00+00:00,1.041885937403256,high_vol,low_vol,False,raw_close_m60
7,60,237902,474779,2025-06-15 05:02:00+00:00,2025-06-15 06:01:00+00:00,2025-11-26 16:59:00+00:00,2025-11-26 17:58:00+00:00,1.0574052614900669,low_vol,high_vol,False,raw_close_m60
8,60,422136,316743,2025-10-21 03:36:00+00:00,2025-10-21 04:35:00+00:00,2025-08-08 23:03:00+00:00,2025-08-09 00:02:00+00:00,1.0676727817212732,mid_vol,low_vol,False,raw_close_m60
9,60,141153,506430,2025-04-09 00:33:00+00:00,2025-04-09 01:32:00+00:00,2025-12-18 16:30:00+00:00,2025-12-18 17:29:00+00:00,1.0705623230120223,high_vol,high_vol,True,raw_close_m60
10,60,234677,299901,2025-06-12 23:17:00+00:00,2025-06-13 00:16:00+00:00,2025-07-28 06:21:00+00:00,2025-07-28 07:20:00+00:00,1.0757148419412292,high_vol,low_vol,False,raw_close_m60
