rank,window_size,motif_index,neighbor_index,motif_start,motif_end,neighbor_start,neighbor_end,profile_value,motif_regime,neighbor_regime,same_regime_flag,representation
1,240,61111,13591,2025-02-12 10:31:00+00:00,2025-02-12 14:30:00+00:00,2025-01-10 10:31:00+00:00,2025-01-10 14:30:00+00:00,1.1275938108681853,low_vol,mid_vol,False,rolling_volatility_m240
2,240,346180,466843,2025-08-29 09:40:00+00:00,2025-08-29 13:39:00+00:00,2025-11-21 04:43:00+00:00,2025-11-21 08:42:00+00:00,1.1346299722202733,mid_vol,high_vol,False,rolling_volatility_m240
3,240,430263,364890,2025-10-26 19:03:00+00:00,2025-10-26 23:02:00+00:00,2025-09-11 09:30:00+00:00,2025-09-11 13:29:00+00:00,1.156025574461663,low_vol,low_vol,True,rolling_volatility_m240
4,240,429507,132076,2025-10-26 06:27:00+00:00,2025-10-26 10:26:00+00:00,2025-04-02 17:16:00+00:00,2025-04-02 21:15:00+00:00,1.2155771111034757,low_vol,high_vol,False,rolling_volatility_m240
5,240,409675,398854,2025-10-12 11:55:00+00:00,2025-10-12 15:54:00+00:00,2025-10-04 23:34:00+00:00,2025-10-05 03:33:00+00:00,1.2164072803074817,mid_vol,low_vol,False,rolling_volatility_m240
6,240,356777,19351,2025-09-05 18:17:00+00:00,2025-09-05 22:16:00+00:00,2025-01-14 10:31:00+00:00,2025-01-14 14:30:00+00:00,1.224950532914312,mid_vol,high_vol,False,rolling_volatility_m240
7,240,205029,510117,2025-05-23 09:09:00+00:00,2025-05-23 13:08:00+00:00,2025-12-21 05:57:00+00:00,2025-12-21 09:56:00+00:00,1.2313283936890735,low_vol,low_vol,True,rolling_volatility_m240
8,240,407179,324574,2025-10-10 18:19:00+00:00,2025-10-10 22:18:00+00:00,2025-08-14 09:34:00+00:00,2025-08-14 13:33:00+00:00,1.2481356255795804,high_vol,mid_vol,False,rolling_volatility_m240
9,240,171926,517663,2025-04-30 09:26:00+00:00,2025-04-30 13:25:00+00:00,2025-12-26 11:43:00+00:00,2025-12-26 15:42:00+00:00,1.2676978457692998,low_vol,low_vol,True,rolling_volatility_m240
10,240,423846,321693,2025-10-22 08:06:00+00:00,2025-10-22 12:05:00+00:00,2025-08-12 09:33:00+00:00,2025-08-12 13:32:00+00:00,1.2834725278461794,mid_vol,mid_vol,True,rolling_volatility_m240
