experiment_name,feature_mode,feature_tag,motif_set_id,occurrence_id,candidate_start_idx,candidate_end_idx,candidate_start_time,candidate_end_time,start_idx,end_idx,length,start_time,end_time,l_min,l_max,rho,overlap,warping,nb,feature_columns,sample_name,dataset_name
btcusdt_1m_locomotif_returns_l30_120_rho07_debug1k,returns,returns,0,0,107,140,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,107,140,33,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,30,120,0.7,0.1,True,1,"[""log_return""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_returns_l30_120_rho07_debug1k,returns,returns,0,1,107,140,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,351,385,34,2017-08-17 09:52:00+00:00,2017-08-17 10:25:00+00:00,30,120,0.7,0.1,True,1,"[""log_return""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_returns_l30_120_rho07_debug1k,returns,returns,0,2,107,140,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,252,284,32,2017-08-17 08:13:00+00:00,2017-08-17 08:44:00+00:00,30,120,0.7,0.1,True,1,"[""log_return""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_returns_l30_120_rho07_debug1k,returns,returns,0,3,107,140,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,283,316,33,2017-08-17 08:44:00+00:00,2017-08-17 09:16:00+00:00,30,120,0.7,0.1,True,1,"[""log_return""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_returns_l30_120_rho07_debug1k,returns,returns,0,4,107,140,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,390,422,32,2017-08-17 10:31:00+00:00,2017-08-17 11:02:00+00:00,30,120,0.7,0.1,True,1,"[""log_return""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_returns_l30_120_rho07_debug1k,returns,returns,0,5,107,140,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,154,189,35,2017-08-17 06:35:00+00:00,2017-08-17 07:09:00+00:00,30,120,0.7,0.1,True,1,"[""log_return""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_returns_l30_120_rho07_debug1k,returns,returns,0,6,107,140,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,756,793,37,2017-08-17 16:37:00+00:00,2017-08-17 17:13:00+00:00,30,120,0.7,0.1,True,1,"[""log_return""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_returns_l30_120_rho07_debug1k,returns,returns,0,7,107,140,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,569,605,36,2017-08-17 13:30:00+00:00,2017-08-17 14:05:00+00:00,30,120,0.7,0.1,True,1,"[""log_return""]",BTCUSDT_1m,BTCUSDT_1m_processed
btcusdt_1m_locomotif_returns_l30_120_rho07_debug1k,returns,returns,0,8,107,140,2017-08-17 05:48:00+00:00,2017-08-17 06:20:00+00:00,532,568,36,2017-08-17 12:53:00+00:00,2017-08-17 13:28:00+00:00,30,120,0.7,0.1,True,1,"[""log_return""]",BTCUSDT_1m,BTCUSDT_1m_processed
