motif_set_id,occurrence_id,candidate_start_idx,candidate_end_idx,candidate_start_time,candidate_end_time,start_idx,end_idx,length,start_time,end_time,l_min,l_max,rho,overlap,warping,nb,feature_columns,sample_name,dataset_name
0,0,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,4556,4676,120,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,1,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,3887,3998,111,2017-08-20 00:47:00+00:00,2017-08-20 02:37:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,2,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,2874,2988,114,2017-08-19 07:54:00+00:00,2017-08-19 09:47:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,3,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,3447,3604,157,2017-08-19 17:27:00+00:00,2017-08-19 20:03:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,4,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,3756,3856,100,2017-08-19 22:36:00+00:00,2017-08-20 00:15:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,5,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,2453,2575,122,2017-08-19 00:53:00+00:00,2017-08-19 02:54:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,6,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,1536,1653,117,2017-08-18 09:36:00+00:00,2017-08-18 11:32:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,7,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,163,293,130,2017-08-17 10:43:00+00:00,2017-08-17 12:52:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,8,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,4370,4476,106,2017-08-20 08:50:00+00:00,2017-08-20 10:35:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,9,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,4704,4840,136,2017-08-20 14:24:00+00:00,2017-08-20 16:39:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,10,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,1391,1528,137,2017-08-18 07:11:00+00:00,2017-08-18 09:27:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,11,4556,4676,2017-08-20 11:56:00+00:00,2017-08-20 13:55:00+00:00,782,918,136,2017-08-17 21:02:00+00:00,2017-08-17 23:17:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,0,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,3016,3047,31,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,1,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,2984,3004,20,2017-08-19 09:44:00+00:00,2017-08-19 10:03:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,2,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,4677,4717,40,2017-08-20 13:57:00+00:00,2017-08-20 14:36:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,3,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,3607,3654,47,2017-08-19 20:07:00+00:00,2017-08-19 20:53:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,4,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,2614,2638,24,2017-08-19 03:34:00+00:00,2017-08-19 03:57:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,5,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,3690,3721,31,2017-08-19 21:30:00+00:00,2017-08-19 22:00:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,6,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,3718,3765,47,2017-08-19 21:58:00+00:00,2017-08-19 22:44:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,7,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,4278,4315,37,2017-08-20 07:18:00+00:00,2017-08-20 07:54:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,8,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,4245,4274,29,2017-08-20 06:45:00+00:00,2017-08-20 07:13:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,9,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,2012,2049,37,2017-08-18 17:32:00+00:00,2017-08-18 18:08:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,10,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,4314,4343,29,2017-08-20 07:54:00+00:00,2017-08-20 08:22:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,11,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,679,716,37,2017-08-17 19:19:00+00:00,2017-08-17 19:55:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,12,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,3857,3883,26,2017-08-20 00:17:00+00:00,2017-08-20 00:42:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,13,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,1848,1873,25,2017-08-18 14:48:00+00:00,2017-08-18 15:12:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,14,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,4519,4551,32,2017-08-20 11:19:00+00:00,2017-08-20 11:50:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,15,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,602,628,26,2017-08-17 18:02:00+00:00,2017-08-17 18:27:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,16,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,754,786,32,2017-08-17 20:34:00+00:00,2017-08-17 21:05:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,17,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,722,753,31,2017-08-17 20:02:00+00:00,2017-08-17 20:32:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,18,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,1810,1850,40,2017-08-18 14:10:00+00:00,2017-08-18 14:49:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,19,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,1282,1310,28,2017-08-18 05:22:00+00:00,2017-08-18 05:49:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,20,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,558,586,28,2017-08-17 17:18:00+00:00,2017-08-17 17:45:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,21,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,1157,1195,38,2017-08-18 03:17:00+00:00,2017-08-18 03:54:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,22,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,1240,1284,44,2017-08-18 04:40:00+00:00,2017-08-18 05:23:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,23,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,1779,1807,28,2017-08-18 13:39:00+00:00,2017-08-18 14:06:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,24,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,638,674,36,2017-08-17 18:38:00+00:00,2017-08-17 19:13:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
1,25,3016,3047,2017-08-19 10:16:00+00:00,2017-08-19 10:46:00+00:00,2825,2860,35,2017-08-19 07:05:00+00:00,2017-08-19 07:39:00+00:00,30,120,0.7,0.1,True,5,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
