motif_set_id,occurrence_id,candidate_start_idx,candidate_end_idx,candidate_start_time,candidate_end_time,start_idx,end_idx,length,start_time,end_time,l_min,l_max,rho,overlap,warping,nb,feature_columns,sample_name,dataset_name
0,0,224,260,2017-08-17 11:44:00+00:00,2017-08-17 12:19:00+00:00,224,260,36,2017-08-17 11:44:00+00:00,2017-08-17 12:19:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,1,224,260,2017-08-17 11:44:00+00:00,2017-08-17 12:19:00+00:00,313,347,34,2017-08-17 13:13:00+00:00,2017-08-17 13:46:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,2,224,260,2017-08-17 11:44:00+00:00,2017-08-17 12:19:00+00:00,274,316,42,2017-08-17 12:34:00+00:00,2017-08-17 13:15:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
0,3,224,260,2017-08-17 11:44:00+00:00,2017-08-17 12:19:00+00:00,366,409,43,2017-08-17 14:06:00+00:00,2017-08-17 14:48:00+00:00,30,120,0.7,0.1,True,1,"[""log_return"", ""vol_30m"", ""vol_60m"", ""vol_240m"", ""log_volume""]",BTCUSDT_1m,BTCUSDT_1m_processed
