rank,motif_idx,neighbor_idx,motif_start,motif_end,neighbor_start,neighbor_end,profile_value
1,3375,13192,2026-03-04 08:15:00+00:00,2026-03-04 09:14:00+00:00,2026-03-11 03:52:00+00:00,2026-03-11 04:51:00+00:00,1.339221792467073
2,845,11510,2026-03-02 14:05:00+00:00,2026-03-02 15:04:00+00:00,2026-03-09 23:50:00+00:00,2026-03-10 00:49:00+00:00,1.436873942172805
3,15754,11642,2026-03-12 22:34:00+00:00,2026-03-12 23:33:00+00:00,2026-03-10 02:02:00+00:00,2026-03-10 03:01:00+00:00,1.5088859327467197
